model,task,raw_reward,final_pass,functional,static,audit,runtime_sec
gpt56_sol_high,1,0,0,1,1,0,107.51
gpt56_sol_high,2,1,1,1,1,1,10.65
gpt56_sol_high,3,1,1,1,1,1,9.84
gpt56_sol_high,4,1,1,1,1,1,14.14
gpt56_sol_high,5,1,1,1,1,1,124.92
gpt56_sol_high,6,1,1,1,1,1,23.39
gpt56_sol_high,7,1,1,1,1,1,155.52
gpt56_sol_high,8,0,0,1,1,0,55.48
gpt56_sol_high,9,1,1,1,1,1,87.31
gpt56_sol_high,10,1,1,1,1,1,68.68
gpt56_sol_high,11,1,1,1,1,1,100.41
gpt56_sol_high,12,1,1,1,1,1,12.85
gpt56_sol_ultra,1,0,0,1,1,0,127.87
gpt56_sol_ultra,2,1,1,1,1,1,14.32
gpt56_sol_ultra,3,1,1,1,1,1,18.45
gpt56_sol_ultra,4,1,1,1,1,1,4.96
gpt56_sol_ultra,5,1,1,1,1,1,75.51
gpt56_sol_ultra,6,1,1,1,1,1,152.16
gpt56_sol_ultra,7,0,1,1,1,0,84.99
gpt56_sol_ultra,8,1,0,1,1,1,60.94
gpt56_sol_ultra,9,1,1,1,1,1,7.18
gpt56_sol_ultra,10,1,1,1,1,1,71.27
gpt56_sol_ultra,11,1,1,1,1,1,120.07
gpt56_sol_ultra,12,1,1,1,1,1,8.61
gpt56_terra_high,1,0,0,0,1,0,
gpt56_terra_high,2,1,1,1,1,1,47.00
gpt56_terra_high,3,1,1,1,1,1,34.29
gpt56_terra_high,4,1,1,1,1,1,14.62
gpt56_terra_high,5,1,1,1,1,1,95.16
gpt56_terra_high,6,1,1,1,1,1,116.18
gpt56_terra_high,7,1,1,1,1,1,8.91
gpt56_terra_high,8,0,0,0,0,0,
gpt56_terra_high,9,1,1,1,1,1,94.28
gpt56_terra_high,10,0,0,0,1,0,21.53
gpt56_terra_high,11,1,1,1,1,1,92.81
gpt56_terra_high,12,1,1,1,1,1,14.07
gpt56_luna_high,1,0,0,1,1,0,9.84
gpt56_luna_high,2,1,1,1,1,1,21.30
gpt56_luna_high,3,1,1,1,1,1,7.69
gpt56_luna_high,4,0,0,1,1,0,9.45
gpt56_luna_high,5,1,1,1,1,1,313.09
gpt56_luna_high,6,1,1,1,1,1,20.47
gpt56_luna_high,7,1,1,1,1,1,170.18
gpt56_luna_high,8,1,0,1,1,1,53.18
gpt56_luna_high,9,1,1,1,1,1,89.42
gpt56_luna_high,10,1,1,1,1,1,436.64
gpt56_luna_high,11,1,1,1,1,1,319.79
gpt56_luna_high,12,1,1,1,1,1,19.34
deepseek_v4_flash_high,1,0,0,0,0,0,
deepseek_v4_flash_high,2,0,0,0,0,0,
deepseek_v4_flash_high,3,1,1,1,1,1,70.04
deepseek_v4_flash_high,4,1,1,1,1,1,19.46
deepseek_v4_flash_high,5,1,1,1,1,1,83.79
deepseek_v4_flash_high,6,0,0,1,1,0,54.79
deepseek_v4_flash_high,7,0,0,1,1,0,194.15
deepseek_v4_flash_high,8,0,0,0,0,0,
deepseek_v4_flash_high,9,0,0,0,0,0,
deepseek_v4_flash_high,10,1,1,1,1,1,20.50
deepseek_v4_flash_high,11,0,0,0,0,0,
deepseek_v4_flash_high,12,1,1,1,1,1,21.86
